,price
2020-01-02,69.0
2020-01-03,68.6
2020-01-06,67.6
2020-01-07,67.5
2020-01-08,66.0
2020-01-09,65.1
2020-01-10,67.0
2020-01-13,66.7
2020-01-14,66.0
2020-01-15,65.9
2020-01-16,66.0
2020-01-17,65.9
2020-01-20,65.4
2020-01-21,65.9
2020-01-22,67.0
2020-01-30,63.1
2020-01-31,58.8
2020-02-03,55.6
2020-02-04,55.7
2020-02-05,56.8
2020-02-06,58.4
2020-02-07,59.8
2020-02-10,57.5
2020-02-11,57.8
2020-02-12,57.5
2020-02-13,57.5
2020-02-14,57.0
2020-02-17,56.4
2020-02-18,56.1
2020-02-19,56.4
2020-02-20,57.5
2020-02-21,58.5
2020-02-24,56.0
2020-02-25,56.9
2020-02-26,55.5
2020-02-27,56.4
2020-02-28,54.9
2020-03-02,54.7
2020-03-03,55.7
2020-03-04,55.7
2020-03-05,55.2
2020-03-06,55.1
2020-03-09,51.3
2020-03-10,48.7
2020-03-11,45.6
2020-03-12,42.45
2020-03-13,40.45
2020-03-16,38.5
2020-03-17,39.0
2020-03-18,39.0
2020-03-19,37.1
2020-03-20,34.7
2020-03-23,32.3
2020-03-24,34.55
2020-03-25,36.95
2020-03-26,39.5
2020-03-27,38.0
2020-03-30,36.0
2020-03-31,37.0
2020-04-01,39.55
2020-04-03,42.3
2020-04-06,45.25
2020-04-07,47.8
2020-04-08,47.8
2020-04-09,47.2
2020-04-10,46.0
2020-04-13,46.25
2020-04-14,46.2
2020-04-15,48.6
2020-04-16,48.25
2020-04-17,48.45
2020-04-20,47.85
2020-04-21,45.6
2020-04-22,47.0
2020-04-23,47.3
2020-04-24,47.0
2020-04-27,46.45
2020-04-28,46.1
2020-04-29,46.2
2020-05-04,44.1
2020-05-05,45.0
2020-05-06,46.5
2020-05-07,46.95
2020-05-08,47.9
2020-05-11,48.15
2020-05-12,49.8
2020-05-13,50.5
2020-05-14,49.7
2020-05-15,48.25
2020-05-18,48.8
2020-05-19,48.6
2020-05-20,49.5
2020-05-21,50.1
2020-05-22,49.15
2020-05-25,49.5
2020-05-26,52.0
2020-05-27,50.5
2020-05-28,50.4
2020-05-29,49.95
2020-06-01,50.7
2020-06-02,49.9
2020-06-03,49.9
2020-06-04,49.85
2020-06-05,49.75
2020-06-08,50.6
2020-06-09,52.4
2020-06-10,52.8
2020-06-11,49.2
2020-06-12,48.3
2020-06-15,47.2
2020-06-16,49.2
2020-06-17,48.0
2020-06-18,48.0
2020-06-19,49.5
2020-06-22,49.0
2020-06-23,48.6
2020-06-24,48.0
2020-06-25,48.0
2020-06-26,47.5
2020-06-29,45.75
2020-06-30,45.5
2020-07-01,45.95
2020-07-02,46.9
2020-07-03,46.5
2020-07-06,47.0
2020-07-07,47.2
2020-07-08,47.2
2020-07-09,47.75
2020-07-10,47.9
2020-07-13,47.5
2020-07-14,47.55
2020-07-15,47.85
2020-07-16,48.0
2020-07-17,48.35
2020-07-20,47.1
2020-07-21,46.7
2020-07-22,46.0
2020-07-23,45.9
2020-07-24,43.6
2020-07-27,40.55
2020-07-28,41.9
2020-07-29,40.1
2020-07-30,40.6
2020-07-31,40.4
2020-08-03,43.2
2020-08-04,45.3
2020-08-05,46.0
2020-08-06,45.35
2020-08-07,44.9
2020-08-10,45.4
2020-08-11,45.25
2020-08-12,45.45
2020-08-13,46.95
2020-08-14,45.85
2020-08-17,45.5
2020-08-18,44.6
2020-08-19,45.3
2020-08-20,45.3
2020-08-21,45.85
2020-08-24,46.9
2020-08-25,47.4
2020-08-26,47.6
2020-08-27,47.6
2020-08-28,48.05
2020-08-31,49.9
2020-09-01,51.5
2020-09-03,51.7
2020-09-04,51.3
2020-09-07,49.05
2020-09-08,49.9
2020-09-09,49.3
2020-09-10,48.3
2020-09-11,47.65
2020-09-14,48.6
2020-09-15,48.05
2020-09-16,48.15
2020-09-17,48.4
2020-09-18,48.7
2020-09-21,49.45
2020-09-22,49.9
2020-09-23,49.85
2020-09-24,49.3
2020-09-25,49.5
2020-09-28,49.7
2020-09-29,48.0
2020-09-30,48.7
2020-10-01,48.85
2020-10-02,48.5
2020-10-05,48.0
2020-10-06,48.65
2020-10-07,49.85
2020-10-08,49.85
2020-10-09,49.8
2020-10-12,52.9
2020-10-13,53.7
2020-10-14,54.4
2020-10-15,54.0
2020-10-16,53.9
2020-10-19,55.5
2020-10-20,54.0
2020-10-21,52.0
2020-10-22,54.3
2020-10-23,55.5
2020-10-26,53.9
2020-10-27,53.0
2020-10-28,49.5
2020-10-29,50.2
2020-10-30,50.5
2020-11-02,51.0
2020-11-03,52.0
2020-11-04,52.6
2020-11-05,52.2
2020-11-06,52.0
2020-11-09,52.9
2020-11-10,53.5
2020-11-11,53.3
2020-11-12,54.0
2020-11-13,55.2
2020-11-16,54.0
2020-11-17,54.7
2020-11-18,55.3
2020-11-19,56.9
2020-11-20,56.8
2020-11-23,56.8
2020-11-24,55.8
2020-11-25,55.2
2020-11-26,54.6
2020-11-27,55.8
2020-11-30,55.0
2020-12-01,55.2
2020-12-02,55.8
2020-12-03,56.4
2020-12-04,55.4
2020-12-07,56.0
2020-12-08,57.6
2020-12-09,57.9
2020-12-10,56.7
2020-12-11,57.5
2020-12-14,58.6
2020-12-15,58.2
2020-12-16,58.6
2020-12-17,57.0
2020-12-18,57.1
2020-12-21,57.1
2020-12-22,56.9
2020-12-23,58.6
2020-12-24,58.4
2020-12-25,61.9
2020-12-28,64.0
2020-12-29,67.0
2020-12-30,65.0
2020-12-31,66.0
2021-01-04,66.3
2021-01-05,66.0
2021-01-06,66.5
2021-01-07,67.0
2021-01-08,68.3
2021-01-11,68.1
2021-01-12,68.2
2021-01-13,70.4
2021-01-14,70.0
2021-01-15,69.4
2021-01-18,68.6
2021-01-19,65.0
2021-01-20,64.3
2021-01-21,65.7
2021-01-22,64.7
2021-01-25,64.0
2021-01-26,60.5
2021-01-27,58.0
2021-01-28,54.0
2021-01-29,56.5
2021-02-01,53.5
2021-02-02,54.7
2021-02-03,58.5
2021-02-04,58.1
2021-02-05,60.0
2021-02-08,57.4
2021-02-09,59.9
2021-02-17,61.9
2021-02-18,61.9
2021-02-19,61.5
2021-02-22,61.1
2021-02-23,60.5
2021-02-24,59.7
2021-02-25,59.6
2021-02-26,59.1
2021-03-01,61.8
2021-03-02,61.8
2021-03-03,61.3
2021-03-04,60.0
2021-03-05,59.0
2021-03-08,59.1
2021-03-09,58.9
2021-03-10,59.6
2021-03-11,60.5
2021-03-12,60.5
2021-03-15,60.1
2021-03-16,59.6
2021-03-17,59.6
2021-03-18,60.7
2021-03-19,61.0
2021-03-22,62.2
2021-03-23,61.7
2021-03-24,59.5
2021-03-25,59.4
2021-03-26,58.4
2021-03-29,59.2
2021-03-30,60.0
2021-03-31,59.6
2021-04-01,60.9
2021-04-02,61.8
2021-04-05,60.7
2021-04-06,61.6
2021-04-07,63.4
2021-04-08,62.4
2021-04-09,62.4
2021-04-12,62.4
2021-04-13,60.8
2021-04-14,60.7
2021-04-15,59.5
2021-04-16,57.9
2021-04-19,59.5
2021-04-20,60.0
2021-04-22,58.0
2021-04-23,59.0
2021-04-26,57.4
2021-04-27,56.9
2021-04-28,57.4
2021-04-29,57.3
2021-05-04,55.6
2021-05-05,56.3
2021-05-06,56.0
2021-05-07,54.2
2021-05-10,56.1
2021-05-11,56.0
2021-05-12,56.8
2021-05-13,55.6
2021-05-14,55.8
2021-05-17,54.6
2021-05-18,54.0
2021-05-19,53.2
2021-05-20,52.8
2021-05-21,53.3
2021-05-24,54.3
2021-05-25,55.2
2021-05-26,55.5
2021-05-27,56.1
2021-05-28,55.5
2021-05-31,54.1
2021-06-01,53.6
2021-06-02,53.6
2021-06-03,54.9
2021-06-04,57.1
2021-06-07,58.5
2021-06-08,57.0
2021-06-09,56.4
2021-06-10,55.5
2021-06-11,57.3
2021-06-14,60.0
2021-06-15,61.2
2021-06-16,60.3
2021-06-17,62.0
2021-06-18,61.0
2021-06-21,59.7
2021-06-22,59.9
2021-06-23,58.8
2021-06-24,58.0
2021-06-25,58.3
2021-06-28,60.0
2021-06-29,59.1
2021-06-30,58.4
2021-07-01,59.0
2021-07-02,59.1
2021-07-05,58.2
2021-07-06,55.9
2021-07-07,54.5
2021-07-08,54.9
2021-07-09,53.1
2021-07-12,50.3
2021-07-13,50.7
2021-07-14,50.0
2021-07-15,50.5
2021-07-16,51.0
2021-07-19,48.0
2021-07-20,49.9
2021-07-21,49.5
2021-07-22,50.8
2021-07-23,50.4
2021-07-26,50.6
2021-07-27,50.5
2021-07-28,50.2
2021-07-29,50.4
2021-07-30,51.1
2021-08-02,52.3
2021-08-03,52.7
2021-08-04,53.7
2021-08-05,53.6
2021-08-06,53.8
2021-08-09,53.9
2021-08-10,53.4
2021-08-11,54.2
2021-08-12,55.3
2021-08-13,54.4
2021-08-16,54.2
2021-08-17,53.6
2021-08-18,54.7
2021-08-19,55.0
2021-08-20,53.4
2021-08-23,52.0
2021-08-24,52.6
2021-08-25,52.7
2021-08-26,52.6
2021-08-27,53.4
2021-08-30,55.0
2021-08-31,57.0
2021-09-01,56.8
2021-09-06,56.4
2021-09-07,55.3
2021-09-08,54.2
2021-09-09,54.9
2021-09-10,56.0
2021-09-13,54.6
2021-09-14,54.0
2021-09-15,54.1
2021-09-16,54.5
2021-09-17,53.6
2021-09-20,53.9
2021-09-21,55.7
2021-09-22,59.0
2021-09-23,57.8
2021-09-24,58.8
2021-09-27,56.5
2021-09-28,58.7
2021-09-29,58.0
2021-09-30,58.4
2021-10-01,57.9
2021-10-04,59.5
2021-10-05,59.9
2021-10-06,61.0
2021-10-07,61.9
2021-10-08,61.2
2021-10-11,62.0
2021-10-12,61.9
2021-10-13,60.0
2021-10-14,59.9
2021-10-15,59.8
2021-10-18,59.6
2021-10-19,61.4
2021-10-20,60.5
