,price
2020-01-02,56.2
2020-01-03,56.2
2020-01-06,57.6
2020-01-07,55.1
2020-01-08,55.2
2020-01-09,55.2
2020-01-10,55.2
2020-01-13,55.2
2020-01-14,55.2
2020-01-15,57.2
2020-01-16,56.0
2020-01-17,56.1
2020-01-20,56.1
2020-01-21,56.8
2020-01-22,56.0
2020-01-30,56.0
2020-01-31,57.5
2020-02-03,56.0
2020-02-04,56.0
2020-02-05,56.0
2020-02-06,57.0
2020-02-07,57.5
2020-02-10,57.5
2020-02-11,57.5
2020-02-12,57.0
2020-02-13,57.0
2020-02-14,57.0
2020-02-17,56.0
2020-02-18,56.0
2020-02-19,56.0
2020-02-20,56.0
2020-02-21,57.0
2020-02-24,56.0
2020-02-25,56.0
2020-02-26,56.0
2020-02-27,56.0
2020-02-28,56.0
2020-03-02,56.0
2020-03-03,57.5
2020-03-04,59.0
2020-03-05,59.0
2020-03-06,59.0
2020-03-09,55.0
2020-03-10,55.0
2020-03-11,55.0
2020-03-12,58.0
2020-03-13,55.0
2020-03-16,55.0
2020-03-17,55.9
2020-03-18,57.0
2020-03-19,60.9
2020-03-20,65.0
2020-03-23,61.0
2020-03-24,60.0
2020-03-25,58.1
2020-03-26,60.0
2020-03-27,58.0
2020-03-30,54.5
2020-03-31,58.3
2020-04-01,58.3
2020-04-03,58.3
2020-04-06,59.0
2020-04-07,60.0
2020-04-08,60.0
2020-04-09,60.0
2020-04-10,59.0
2020-04-13,61.0
2020-04-14,60.0
2020-04-15,60.0
2020-04-16,58.1
2020-04-17,58.1
2020-04-20,59.0
2020-04-21,59.0
2020-04-22,59.0
2020-04-23,63.1
2020-04-24,67.0
2020-04-27,70.1
2020-04-28,70.0
2020-04-29,65.2
2020-05-04,65.2
2020-05-05,65.2
2020-05-06,65.2
2020-05-07,65.0
2020-05-08,65.0
2020-05-11,65.0
2020-05-12,65.0
2020-05-13,65.0
2020-05-14,64.0
2020-05-15,64.0
2020-05-18,64.0
2020-05-19,64.0
2020-05-20,63.9
2020-05-21,64.0
2020-05-22,63.8
2020-05-25,66.5
2020-05-26,66.7
2020-05-27,66.7
2020-05-28,66.0
2020-05-29,66.0
2020-06-01,66.5
2020-06-02,66.6
2020-06-03,66.6
2020-06-04,67.0
2020-06-05,67.0
2020-06-08,70.0
2020-06-09,71.0
2020-06-10,69.0
2020-06-11,69.0
2020-06-12,69.0
2020-06-15,69.0
2020-06-16,69.0
2020-06-17,69.5
2020-06-18,69.0
2020-06-19,69.2
2020-06-22,69.2
2020-06-23,69.0
2020-06-24,69.0
2020-06-25,65.1
2020-06-26,66.0
2020-06-29,65.0
2020-06-30,65.8
2020-07-01,66.0
2020-07-02,66.0
2020-07-03,65.5
2020-07-06,66.0
2020-07-07,66.1
2020-07-08,66.0
2020-07-09,69.7
2020-07-10,67.5
2020-07-13,67.5
2020-07-14,67.5
2020-07-15,67.5
2020-07-16,67.5
2020-07-17,67.5
2020-07-20,67.0
2020-07-21,67.5
2020-07-22,67.0
2020-07-23,67.5
2020-07-24,65.0
2020-07-27,65.0
2020-07-28,67.2
2020-07-29,65.7
2020-07-30,66.0
2020-07-31,65.0
2020-08-03,69.4
2020-08-04,65.0
2020-08-05,65.0
2020-08-06,65.5
2020-08-07,65.5
2020-08-10,65.5
2020-08-11,65.5
2020-08-12,65.5
2020-08-13,68.0
2020-08-14,65.5
2020-08-17,68.0
2020-08-18,66.0
2020-08-19,62.7
2020-08-20,65.5
2020-08-21,67.0
2020-08-24,68.5
2020-08-25,68.0
2020-08-26,67.0
2020-08-27,67.0
2020-08-28,68.1
2020-08-31,68.1
2020-09-01,71.5
2020-09-03,72.6
2020-09-04,72.8
2020-09-07,72.6
2020-09-08,72.5
2020-09-09,72.5
2020-09-10,71.6
2020-09-11,72.4
2020-09-14,72.3
