,price
2020-01-02,72.0
2020-01-03,72.0
2020-01-06,70.0
2020-01-07,70.0
2020-01-08,70.0
2020-01-09,69.0
2020-01-10,70.0
2020-01-13,72.0
2020-01-14,71.7
2020-01-15,71.7
2020-01-16,71.7
2020-01-17,71.7
2020-01-20,71.7
2020-01-21,71.7
2020-01-22,71.4
2020-01-30,71.4
2020-01-31,76.0
2020-02-03,73.0
2020-02-04,71.5
2020-02-05,68.0
2020-02-06,66.0
2020-02-07,66.0
2020-02-10,67.5
2020-02-11,67.5
2020-02-12,67.4
2020-02-13,66.0
2020-02-14,66.0
2020-02-17,66.0
2020-02-18,66.6
2020-02-19,66.6
2020-02-20,65.0
2020-02-21,65.0
2020-02-24,63.8
2020-02-25,63.4
2020-02-26,63.4
2020-02-27,63.0
2020-02-28,61.5
2020-03-02,62.9
2020-03-03,62.8
2020-03-04,60.6
2020-03-05,61.9
2020-03-06,61.5
2020-03-09,60.1
2020-03-10,59.8
2020-03-11,58.6
2020-03-12,55.5
2020-03-13,51.7
2020-03-16,51.0
2020-03-17,49.1
2020-03-18,50.9
2020-03-19,49.9
2020-03-20,49.9
2020-03-23,48.6
2020-03-24,48.5
2020-03-25,47.0
2020-03-26,46.5
2020-03-27,46.0
2020-03-30,45.0
2020-03-31,42.1
2020-04-01,43.95
2020-04-03,43.6
2020-04-06,43.0
2020-04-07,43.5
2020-04-08,46.5
2020-04-09,49.75
2020-04-10,52.7
2020-04-13,49.5
2020-04-14,52.9
2020-04-15,53.0
2020-04-16,52.8
2020-04-17,54.0
2020-04-20,53.5
2020-04-21,49.8
2020-04-22,49.0
2020-04-23,50.0
2020-04-24,49.7
2020-04-27,50.5
2020-04-28,51.4
2020-04-29,51.8
2020-05-04,50.0
2020-05-05,50.0
2020-05-06,50.3
2020-05-07,49.6
2020-05-08,49.9
2020-05-11,49.8
2020-05-12,52.6
2020-05-13,53.5
2020-05-14,52.5
2020-05-15,51.6
2020-05-18,51.7
2020-05-19,51.5
2020-05-20,51.9
2020-05-21,53.7
2020-05-22,52.4
2020-05-25,53.0
2020-05-26,53.3
2020-05-27,53.7
2020-05-28,54.5
2020-05-29,55.2
2020-06-01,56.5
2020-06-02,54.9
2020-06-03,54.8
2020-06-04,54.6
2020-06-05,55.0
2020-06-08,55.9
2020-06-09,54.7
2020-06-10,53.5
2020-06-11,52.0
2020-06-12,51.8
2020-06-15,50.3
2020-06-16,51.1
2020-06-17,51.8
2020-06-18,51.4
2020-06-19,51.4
2020-06-22,51.6
2020-06-23,51.9
2020-06-24,51.4
2020-06-25,51.0
2020-06-26,51.0
2020-06-29,50.0
2020-06-30,49.7
2020-07-01,50.5
2020-07-02,50.8
2020-07-03,50.8
2020-07-06,50.6
2020-07-07,50.7
2020-07-08,51.0
2020-07-09,51.4
2020-07-10,51.4
2020-07-13,51.2
2020-07-14,51.2
2020-07-15,51.2
2020-07-16,51.0
2020-07-17,51.0
2020-07-20,50.6
2020-07-21,51.0
2020-07-22,51.0
2020-07-23,50.7
2020-07-24,49.5
2020-07-27,46.05
2020-07-28,47.8
2020-07-29,45.8
2020-07-30,47.2
2020-07-31,46.5
2020-08-03,48.4
2020-08-04,48.85
2020-08-05,48.9
2020-08-06,50.3
2020-08-07,50.0
2020-08-10,50.4
2020-08-11,49.9
2020-08-12,49.3
2020-08-13,49.45
2020-08-14,50.0
2020-08-17,51.0
2020-08-18,52.4
2020-08-19,51.9
2020-08-20,51.4
2020-08-21,52.3
2020-08-24,53.2
