,price
2020-01-02,38.95
2020-01-03,40.4
2020-01-06,42.0
2020-01-07,43.6
2020-01-08,40.55
2020-01-09,43.0
2020-01-10,43.0
2020-01-13,45.5
2020-01-14,45.5
2020-01-15,45.5
2020-01-16,45.5
2020-01-17,45.5
2020-01-20,44.0
2020-01-21,47.05
2020-01-22,47.05
2020-01-30,47.05
2020-01-31,47.05
2020-02-03,43.8
2020-02-04,43.8
2020-02-05,43.8
2020-02-06,43.8
2020-02-07,45.9
2020-02-10,45.9
2020-02-11,45.9
2020-02-12,45.9
2020-02-13,45.9
2020-02-14,42.7
2020-02-17,42.5
2020-02-18,39.55
2020-02-19,42.3
2020-02-20,42.3
2020-02-21,42.3
2020-02-24,42.3
2020-02-25,42.3
2020-02-26,42.3
2020-02-27,41.0
2020-02-28,42.0
2020-03-02,42.0
2020-03-03,42.0
2020-03-04,43.0
2020-03-05,42.0
2020-03-06,39.1
2020-03-09,41.5
2020-03-10,40.0
2020-03-11,41.5
2020-03-12,41.5
2020-03-13,38.6
2020-03-16,40.8
2020-03-17,40.8
2020-03-18,40.8
2020-03-19,40.8
2020-03-20,38.0
2020-03-23,38.0
2020-03-24,40.65
2020-03-25,40.5
2020-03-26,40.5
2020-03-27,40.5
2020-03-30,40.5
2020-03-31,37.7
2020-04-01,39.8
2020-04-03,37.05
2020-04-06,34.5
2020-04-07,32.1
2020-04-08,34.3
2020-04-09,36.7
2020-04-10,39.2
2020-04-13,41.9
2020-04-14,39.0
2020-04-15,40.9
2020-04-16,40.0
2020-04-17,37.2
2020-04-20,34.7
2020-04-21,32.3
2020-04-22,31.0
2020-04-23,28.85
2020-04-24,30.85
2020-04-27,33.0
2020-04-28,35.3
2020-04-29,33.0
2020-05-04,35.3
2020-05-05,33.5
2020-05-06,32.2
2020-05-07,34.45
2020-05-08,36.85
2020-05-11,37.5
2020-05-12,40.0
2020-05-13,37.25
2020-05-14,36.0
2020-05-15,36.0
2020-05-18,38.5
2020-05-19,38.5
2020-05-20,38.5
2020-05-21,38.0
2020-05-22,38.0
2020-05-25,38.0
2020-05-26,38.0
2020-05-27,38.0
2020-05-28,38.0
2020-05-29,38.0
2020-06-01,38.0
2020-06-02,38.0
2020-06-03,38.0
2020-06-04,38.0
2020-06-05,38.0
2020-06-08,40.0
2020-06-09,40.0
2020-06-10,37.2
2020-06-11,37.2
2020-06-12,37.2
2020-06-15,39.8
2020-06-16,42.55
2020-06-17,39.6
2020-06-18,42.3
2020-06-19,39.35
2020-06-22,39.35
2020-06-23,39.35
2020-06-24,41.05
2020-06-25,41.05
2020-06-26,41.05
2020-06-29,41.05
2020-06-30,41.05
2020-07-01,38.2
2020-07-02,40.5
2020-07-03,40.5
2020-07-06,38.0
2020-07-07,38.0
2020-07-08,38.95
2020-07-09,38.95
2020-07-10,38.95
2020-07-13,36.3
2020-07-14,38.0
2020-07-15,39.9
2020-07-16,47.0
2020-07-17,47.0
2020-07-20,43.75
2020-07-21,43.75
2020-07-22,45.65
2020-07-23,45.65
2020-07-24,46.0
2020-07-27,46.0
2020-07-28,46.0
2020-07-29,47.0
2020-07-30,47.0
2020-07-31,47.0
2020-08-03,47.0
2020-08-04,47.0
2020-08-05,47.0
2020-08-06,47.0
2020-08-07,47.0
2020-08-10,47.0
2020-08-11,47.0
2020-08-12,47.0
2020-08-13,47.0
2020-08-14,47.0
2020-08-17,43.75
2020-08-18,43.75
2020-08-19,43.75
2020-08-20,46.8
2020-08-21,46.8
2020-08-24,50.0
2020-08-25,50.0
2020-08-26,50.0
2020-08-27,50.0
2020-08-28,53.0
2020-08-31,53.0
2020-09-01,53.0
2020-09-03,53.0
2020-09-04,53.0
2020-09-07,53.0
2020-09-08,53.0
2020-09-09,53.0
2020-09-10,53.0
2020-09-11,53.0
2020-09-14,53.0
2020-09-15,53.0
2020-09-16,53.0
2020-09-17,53.0
2020-09-18,53.0
2020-09-21,53.0
2020-09-22,53.0
2020-09-23,49.3
2020-09-24,49.3
2020-09-25,45.9
2020-09-28,42.7
2020-09-29,42.7
2020-09-30,39.75
2020-10-01,37.0
2020-10-02,37.0
2020-10-05,39.5
2020-10-06,40.0
2020-10-07,40.0
2020-10-08,37.2
2020-10-09,37.2
2020-10-12,37.2
2020-10-13,37.95
2020-10-14,38.0
2020-10-15,39.2
2020-10-16,39.5
2020-10-19,39.5
2020-10-20,36.75
2020-10-21,39.0
2020-10-22,41.0
2020-10-23,39.0
2020-10-26,41.0
2020-10-27,43.85
2020-10-28,44.0
2020-10-29,42.0
2020-10-30,44.9
2020-11-02,44.0
2020-11-03,40.95
2020-11-04,43.8
2020-11-05,46.85
2020-11-06,46.85
2020-11-09,49.0
2020-11-10,45.6
2020-11-11,42.45
2020-11-12,45.3
2020-11-13,42.4
2020-11-16,39.45
2020-11-17,39.45
2020-11-18,36.85
2020-11-19,35.2
2020-11-20,35.2
2020-11-23,37.65
2020-11-24,38.4
2020-11-25,39.0
2020-11-26,41.7
2020-11-27,44.6
2020-11-30,41.5
2020-12-01,39.5
2020-12-02,39.5
2020-12-03,39.45
2020-12-04,37.0
2020-12-07,39.55
2020-12-08,39.55
2020-12-09,39.7
2020-12-10,42.3
2020-12-11,45.25
2020-12-14,42.2
2020-12-15,40.05
2020-12-16,37.3
2020-12-17,39.9
2020-12-18,38.0
2020-12-21,40.65
2020-12-22,40.65
2020-12-23,40.0
2020-12-24,42.8
2020-12-25,42.8
2020-12-28,41.7
2020-12-29,44.6
2020-12-30,47.7
2020-12-31,51.0
2021-01-04,54.5
2021-01-05,55.0
2021-01-06,58.8
2021-01-07,62.9
2021-01-08,67.3
2021-01-11,72.0
2021-01-12,77.0
2021-01-13,72.0
2021-01-14,67.0
2021-01-15,62.9
2021-01-18,62.9
2021-01-19,60.0
2021-01-20,59.0
2021-01-21,60.0
2021-01-22,60.0
2021-01-25,60.0
2021-01-26,60.0
2021-01-27,64.0
2021-01-28,59.6
2021-01-29,59.0
2021-02-01,59.0
2021-02-02,59.0
2021-02-03,59.0
2021-02-04,63.1
2021-02-05,63.1
2021-02-08,63.1
2021-02-09,63.1
2021-02-17,63.1
2021-02-18,63.1
2021-02-19,63.1
2021-02-22,59.5
2021-02-23,59.5
2021-02-24,59.5
2021-02-25,59.5
2021-02-26,55.5
2021-03-01,55.5
2021-03-02,55.5
2021-03-03,53.0
2021-03-04,53.0
2021-03-05,53.0
2021-03-08,53.0
2021-03-09,53.0
2021-03-10,53.0
2021-03-11,56.0
2021-03-12,56.0
2021-03-15,58.0
2021-03-16,62.0
2021-03-17,62.0
2021-03-18,62.0
2021-03-19,62.0
2021-03-22,62.1
2021-03-23,66.0
2021-03-24,62.0
2021-03-25,63.0
2021-03-26,67.4
2021-03-29,63.0
2021-03-30,59.3
2021-03-31,56.0
2021-04-01,56.0
2021-04-02,56.0
2021-04-05,52.2
2021-04-06,52.2
2021-04-07,52.2
2021-04-08,52.2
2021-04-09,55.8
2021-04-12,59.7
2021-04-13,63.8
2021-04-14,63.8
2021-04-15,68.2
2021-04-16,68.4
2021-04-19,68.5
2021-04-20,68.5
2021-04-22,68.5
2021-04-23,68.5
2021-04-26,68.5
2021-04-27,69.0
2021-04-28,69.0
2021-04-29,70.0
2021-05-04,70.0
2021-05-05,70.0
2021-05-06,70.0
2021-05-07,70.0
2021-05-10,70.0
2021-05-11,70.0
2021-05-12,70.0
2021-05-13,70.0
2021-05-14,70.0
2021-05-17,70.0
2021-05-18,70.0
2021-05-19,70.0
2021-05-20,70.0
2021-05-21,70.0
2021-05-24,70.0
2021-05-25,70.0
2021-05-26,69.0
2021-05-27,69.0
2021-05-28,68.0
2021-05-31,64.0
2021-06-01,64.0
2021-06-02,63.0
2021-06-03,63.0
2021-06-04,67.0
2021-06-07,63.0
2021-06-08,63.0
2021-06-09,63.0
2021-06-10,63.0
2021-06-11,63.0
2021-06-14,63.0
2021-06-15,63.0
2021-06-16,59.0
2021-06-17,59.0
2021-06-18,63.1
2021-06-21,63.1
2021-06-22,63.1
2021-06-23,63.1
2021-06-24,63.1
2021-06-25,63.1
2021-06-28,63.1
2021-06-29,62.0
2021-06-30,62.0
2021-07-01,66.3
2021-07-02,62.0
2021-07-05,62.0
2021-07-06,62.0
2021-07-07,62.0
2021-07-08,60.0
2021-07-09,60.0
2021-07-12,60.0
2021-07-13,60.0
2021-07-14,60.0
2021-07-15,60.0
2021-07-16,60.0
2021-07-19,60.0
2021-07-20,64.2
2021-07-21,64.2
2021-07-22,64.2
2021-07-23,64.2
2021-07-26,64.2
2021-07-27,64.2
2021-07-28,60.0
2021-07-29,60.0
2021-07-30,60.0
2021-08-02,60.0
2021-08-03,60.0
2021-08-04,60.0
2021-08-05,60.0
2021-08-06,60.0
2021-08-09,60.0
2021-08-10,60.0
2021-08-11,60.0
2021-08-12,60.0
2021-08-13,60.0
2021-08-16,60.0
2021-08-17,60.0
2021-08-18,59.9
2021-08-19,59.0
2021-08-20,59.0
2021-08-23,59.0
2021-08-24,59.0
2021-08-25,58.9
2021-08-26,63.0
2021-08-27,63.0
2021-08-30,63.0
2021-08-31,67.2
2021-09-01,67.2
2021-09-06,67.2
2021-09-07,67.2
2021-09-08,67.2
2021-09-09,67.2
2021-09-10,67.2
2021-09-13,67.2
2021-09-14,67.2
2021-09-15,67.2
2021-09-16,67.2
2021-09-17,67.2
2021-09-20,67.2
2021-09-21,62.5
2021-09-22,66.6
2021-09-23,62.0
2021-09-24,66.3
2021-09-27,66.2
2021-09-28,66.2
2021-09-29,61.6
2021-09-30,65.8
2021-10-01,61.2
2021-10-04,57.0
2021-10-05,53.4
2021-10-06,53.5
2021-10-07,57.2
2021-10-08,61.2
2021-10-11,61.2
2021-10-12,57.0
2021-10-13,60.8
2021-10-14,58.0
2021-10-15,58.0
2021-10-18,58.9
2021-10-19,62.8
2021-10-20,59.9
2021-10-21,63.6
2021-10-22,59.2
2021-10-25,55.1
2021-10-26,52.7
2021-10-27,56.3
2021-10-28,55.0
2021-10-29,54.6
2021-11-01,53.0
2021-11-02,54.9
2021-11-03,52.9
2021-11-04,52.6
2021-11-05,52.8
2021-11-08,51.6
2021-11-09,51.6
2021-11-10,51.0
2021-11-11,52.9
2021-11-12,52.9
2021-11-15,51.6
2021-11-16,50.9
2021-11-17,50.5
2021-11-18,52.4
2021-11-19,52.4
2021-11-22,52.4
2021-11-23,52.4
2021-11-24,52.4
2021-11-25,53.0
2021-11-26,53.0
2021-11-29,53.6
2021-11-30,53.6
2021-12-01,53.6
2021-12-02,53.6
2021-12-03,53.0
2021-12-06,53.0
2021-12-07,53.0
2021-12-08,53.0
2021-12-09,53.0
2021-12-10,56.7
2021-12-13,56.7
2021-12-14,56.7
2021-12-15,56.7
2021-12-16,56.7
2021-12-17,56.7
2021-12-20,54.5
2021-12-21,58.0
2021-12-22,57.8
2021-12-23,57.8
2021-12-24,53.8
2021-12-27,53.0
2021-12-28,53.0
2021-12-29,53.0
2021-12-30,53.0
2021-12-31,53.0
2022-01-04,52.0
2022-01-05,51.5
2022-01-06,51.0
2022-01-07,51.0
2022-01-10,51.0
2022-01-11,51.0
2022-01-12,51.0
2022-01-13,51.1
2022-01-14,51.1
2022-01-17,51.1
2022-01-18,51.1
2022-01-19,51.1
2022-01-20,51.1
2022-01-21,51.1
2022-01-24,54.4
2022-01-25,54.4
2022-01-26,54.4
2022-01-27,54.4
2022-01-28,54.4
2022-02-07,55.0
2022-02-08,54.0
2022-02-09,54.0
2022-02-10,54.0
2022-02-11,54.0
2022-02-14,54.0
2022-02-15,54.0
2022-02-16,54.0
2022-02-17,53.0
2022-02-18,53.0
2022-02-21,53.0
2022-02-22,53.0
2022-02-23,53.0
2022-02-24,53.0
2022-02-25,54.8
2022-02-28,54.8
2022-03-01,55.9
2022-03-02,56.9
2022-03-03,56.9
2022-03-04,56.0
2022-03-07,56.0
2022-03-08,56.0
2022-03-09,52.1
2022-03-10,52.1
2022-03-11,52.1
2022-03-14,52.1
2022-03-15,52.1
2022-03-16,52.1
2022-03-17,52.1
2022-03-18,52.1
2022-03-21,52.1
2022-03-22,52.0
2022-03-23,53.5
2022-03-24,53.5
2022-03-25,52.8
2022-03-28,52.8
2022-03-29,52.8
2022-03-30,52.8
2022-03-31,52.7
2022-04-01,52.7
2022-04-04,52.4
2022-04-05,52.4
2022-04-06,54.0
2022-04-07,54.0
2022-04-08,55.0
2022-04-12,54.3
2022-04-13,54.3
2022-04-14,54.5
2022-04-15,54.5
2022-04-18,54.0
2022-04-19,52.5
2022-04-20,56.1
2022-04-21,56.1
2022-04-22,53.0
2022-04-25,53.0
2022-04-26,56.7
2022-04-27,56.7
2022-04-28,56.7
2022-04-29,56.7
2022-05-04,53.0
2022-05-05,53.0
2022-05-06,54.5
2022-05-09,51.0
2022-05-10,51.0
2022-05-11,51.0
2022-05-12,51.0
2022-05-13,54.0
2022-05-16,54.0
2022-05-17,54.0
2022-05-18,54.0
2022-05-19,54.0
2022-05-20,54.0
2022-05-23,54.0
2022-05-24,53.0
2022-05-25,53.0
